seed,query_index,query_id,affected_by_drift,old_policy_correct,old_policy_action,adapted_policy_correct,adapted_policy_action,full_retrain_policy_correct,full_retrain_policy_action
1,0,doc-q-000,False,1,0,1,0,1,0
1,1,doc-q-001,True,0,0,1,1,1,1
1,2,doc-q-002,True,0,0,1,1,1,1
1,3,doc-q-003,False,1,0,1,1,1,1
1,4,doc-q-004,True,0,0,1,1,1,1
1,5,doc-q-005,True,0,0,1,1,1,1
1,6,doc-q-006,True,0,0,1,1,1,1
1,7,doc-q-007,True,0,0,1,1,1,1
1,8,doc-q-008,True,0,0,1,1,1,1
1,9,doc-q-009,True,0,0,1,1,1,1
1,10,doc-q-010,True,0,0,1,1,1,1
1,11,doc-q-011,True,0,0,1,1,1,1
1,12,doc-q-012,False,1,0,1,0,1,0
1,13,doc-q-013,False,1,0,1,1,1,1
1,14,doc-q-014,True,0,0,1,1,1,1
1,15,doc-q-015,True,0,0,1,1,1,1
1,16,doc-q-016,True,0,0,1,1,1,1
1,17,doc-q-017,True,0,0,1,1,1,1
1,18,doc-q-018,False,1,0,1,1,1,1
1,19,doc-q-019,True,0,0,1,1,1,1
1,20,doc-q-020,True,0,0,1,1,1,1
1,21,doc-q-021,True,0,0,1,1,1,1
1,22,doc-q-022,True,0,0,1,1,1,1
1,23,doc-q-023,True,0,0,1,1,1,1
1,24,doc-q-024,False,1,0,1,1,1,1
1,25,doc-q-025,True,0,0,1,1,1,1
1,26,doc-q-026,True,0,0,0,0,0,0
1,27,doc-q-027,True,0,0,1,1,1,1
1,28,doc-q-028,False,1,0,1,1,1,1
1,29,doc-q-029,False,1,0,1,1,1,1
1,30,doc-q-030,False,1,0,0,1,0,1
1,31,doc-q-031,True,0,0,1,1,1,1
1,32,doc-q-032,True,0,0,1,1,1,1
1,33,doc-q-033,False,1,0,1,0,1,0
1,34,doc-q-034,False,1,0,1,0,1,0
1,35,doc-q-035,True,0,0,1,1,1,1
1,36,doc-q-036,False,1,0,1,0,1,0
1,37,doc-q-037,False,1,0,1,0,1,0
1,38,doc-q-038,True,0,0,1,1,1,1
1,39,doc-q-039,False,1,0,1,0,1,0
1,40,doc-q-040,False,1,0,1,0,1,0
1,41,doc-q-041,True,0,0,1,1,1,1
1,42,doc-q-042,False,1,0,1,0,1,0
1,43,doc-q-043,False,1,0,1,0,1,0
1,44,doc-q-044,True,0,0,1,1,1,1
1,45,doc-q-045,False,1,0,1,0,1,0
